             x       y             xy            x²        SQREG        SQTOT
345  1986.9583  347.49  690448.139667  3.948003e+06    38.636635   113.638323
346  1987.0417  348.73  692941.052041  3.948335e+06    36.973471    88.738806
347  1987.1250  348.92  693347.655000  3.948666e+06    35.348824    85.195258
348  1987.2083  349.81  695145.335423  3.948997e+06    33.760677    69.557730
349  1987.2917  351.40  698334.303380  3.949328e+06    32.207191    45.564224
350  1987.3750  352.15  699854.106250  3.949659e+06    30.692089    36.001533
351  1987.4583  351.58  698750.589114  3.949990e+06    29.213489    43.166578
352  1987.5417  350.21  696056.978757  3.950322e+06    27.769679    63.045628
353  1987.6250  348.20  692091.025000  3.950653e+06    26.364124    99.005042
354  1987.7083  346.66  689058.959278  3.950984e+06    24.995069   132.023035
355  1987.7917  346.72  689207.138224  3.951316e+06    23.660937   130.647820
356  1987.8750  348.08  691939.530000  3.951647e+06    22.364927   101.407472
357  1987.9583  349.28  694354.075024  3.951978e+06    21.105418    78.679166
358  1988.0417  350.51  696828.496267  3.952310e+06    19.880963    58.371551
359  1988.1250  351.70  699223.562500  3.952641e+06    18.694499    41.604148
360  1988.2083  352.50  700843.425750  3.952972e+06    17.544536    31.923943
361  1988.2917  353.67  703199.125539  3.953304e+06    16.429758    20.071544
362  1988.3750  354.35  704580.681250  3.953635e+06    15.352840    14.440971
363  1988.4583  353.88  703675.623204  3.953966e+06    14.312423    18.233991
364  1988.5417  352.80  701557.511760  3.954298e+06    13.307323    28.623867
365  1988.6250  350.49  696993.176250  3.954629e+06    12.339950    58.677557
366  1988.7083  348.97  693999.535451  3.954961e+06    11.409078    84.274745
367  1988.7917  349.37  694824.156229  3.955292e+06    10.513656    77.090643
368  1988.8750  350.42  696941.577500  3.955624e+06     9.655829    59.754874
369  1988.9583  351.62  699357.517446  3.955955e+06     8.834503    42.642568
370  1989.0417  353.07  702270.953019  3.956287e+06     8.048758    25.807698
371  1989.1250  353.43  703016.448750  3.956618e+06     7.300477    22.279606
372  1989.2083  354.08  704338.874864  3.956950e+06     6.588697    16.565940
373  1989.2917  355.72  707630.843524  3.957281e+06     5.912629     5.905521
374  1989.3750  355.95  708118.031250  3.957613e+06     5.273894     4.840562
375  1989.4583  355.44  707133.058152  3.957944e+06     4.671659     7.344792
